Material_Name,Cost Price,Currency,Description,Type,Insulation Type,Thickness,Finish,Size,Weight,Unit ,Coverage per liter (sq.m),Coverage per sq.m,Tiles/sheet,Coverage per sq.m (9-inch wall),Bricks/Block,Coverage per sq.m (4.5-inch wall),Bricks/Block,Wastage Percentage,Labor Cost per sq.m,Currency,Transportation Cost (per 1000 bricks),Region
Red Clay Brick,1.2,Dhs,Traditional red clay brick used for walls and foundations.,_,_,_,_,190mm x 90mm x 90mm,2.5,KG,_,_,_,100,bricks,50,bricks,5%,12.5,Dhs,50,Urban
Fly Ash Brick,1.8,Dhs,Eco-friendly fly ash brick for lightweight construction.,_,_,_,_,230mm x 110mm x 70mm,2,KG,_,_,_,95,bricks,48,bricks,4%,10,Dhs,45,Urban
Concrete Block,3.5,Dhs,Solid concrete block for structural walls.,_,_,_,_,400mm x 200mm x 200mm,10,KG,_,_,_,12.5,blocks,6,blocks,6%,20,Dhs,120,Rural
Hollow Clay Brick,2,Dhs,Hollow clay brick for thermal insulation.,_,_,_,_,230mm x 100mm x 70mm,1.8,KG,_,_,_,90,bricks,45,bricks,3%,11,Dhs,55,Suburban
AAC Block,5,Dhs,Autoclaved aerated concrete block for high insulation.,_,_,_,_,600mm x 200mm x 200mm,8,KG,_,_,_,8,blocks,4,blocks,3%,25,Dhs,150,Urban
Fire Brick,4.2,Dhs,Fire-resistant brick for high-temperature environments.,_,_,_,_,230mm x 114mm x 65mm,3.5,KG,_,_,_,92,bricks,46,bricks,4%,30,Dhs,180,Industrial
Engineering Brick,3,Dhs,High strength and low water absorption engineering brick.,_,_,_,_,215mm x 102mm x 65mm,3.3,KG,_,_,_,96,bricks,48,bricks,2%,20,Dhs,110,Urban
Calcium Silicate Brick,2.5,Dhs,Calcium silicate brick for superior strength and sound insulation.,_,_,_,_,220mm x 105mm x 65mm,2.7,KG,_,_,_,95,bricks,47,bricks,3%,22,Dhs,130,Urban
Sand Lime Brick,1.6,Dhs,Sand-lime brick for smooth finish and durability.,_,_,_,_,228mm x 108mm x 70mm,2.4,KG,_,_,_,98,bricks,49,bricks,5%,12,Dhs,60,Rural
Refractory Brick,6,Dhs,Brick used for lining furnaces and kilns.,_,_,_,_,230mm x 114mm x 75mm,4,KG,_,_,_,88,bricks,44,bricks,4%,35,Dhs,200,Industrial
Wire Cut Brick,2.2,Dhs,Brick with a smooth surface for exposed brickwork.,_,_,_,_,220mm x 105mm x 65mm,2.6,KG,_,_,_,96,bricks,48,bricks,3%,18,Dhs,70,Suburban
Glazed Brick,4.5,Dhs,Glazed finish brick for decorative and exterior use.,_,_,_,_,215mm x 102mm x 65mm,3,KG,_,_,_,94,bricks,47,bricks,5%,28,Dhs,150,Urban
Perforated Brick,1.5,Dhs,Perforated brick for better air flow and reduced weight.,_,_,_,_,190mm x 90mm x 90mm,1.8,KG,_,_,_,100,bricks,50,bricks,4%,15,Dhs,50,Rural
Insulating Fire Brick,8,Dhs,Lightweight insulating brick for thermal efficiency.,_,_,_,_,230mm x 114mm x 76mm,3,KG,_,_,_,85,bricks,42,bricks,3%,40,Dhs,250,Industrial
Lightweight Concrete Block,3.8,Dhs,Lightweight concrete block for non-load-bearing walls.,_,_,_,_,390mm x 190mm x 190mm,7.5,KG,_,_,_,13,blocks,6.5,blocks,6%,18,Dhs,110,Suburban
Interlocking Brick,4,Dhs,Interlocking brick for mortar-less construction.,_,_,_,_,250mm x 125mm x 100mm,3,KG,_,_,_,70,bricks,35,bricks,5%,25,Dhs,140,Urban
Porotherm Clay Brick,3,Dhs,Clay brick with perforations for better insulation.,_,_,_,_,400mm x 200mm x 200mm,6,KG,_,_,_,11.5,blocks,5.75,blocks,5%,22,Dhs,130,Rural
Hand-molded Brick,1.4,Dhs,Handmade brick for a rustic and unique look.,_,_,_,_,210mm x 100mm x 65mm,2.2,KG,_,_,_,98,bricks,49,bricks,7%,13,Dhs,55,Suburban
Extruded Brick,2,Dhs,Machine-made brick for consistent size and shape.,_,_,_,_,215mm x 102mm x 65mm,2.5,KG,_,_,_,97,bricks,48,bricks,3%,15,Dhs,60,Urban
Acid Resistant Brick,7,Dhs,Brick designed for chemical-resistant applications.,_,_,_,_,230mm x 114mm x 65mm,3.7,KG,_,_,_,90,bricks,45,bricks,2%,40,Dhs,240,Industrial
Bullnose Brick,2.5,Dhs,Brick with rounded edges for aesthetic corners.,_,_,_,_,215mm x 102mm x 65mm,2.7,KG,_,_,_,95,bricks,47,bricks,4%,16,Dhs,80,Suburban
